Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,2.684000,2.684000,2.297000,2.348000,2.348000,0
2010-02-01,2.378000,2.507000,2.197000,2.284000,2.284000,0
2010-03-01,2.303000,2.693000,2.253000,2.560000,2.560000,0
2010-04-01,2.574000,2.757000,2.410000,2.420000,2.420000,0
2010-05-01,2.455000,2.482000,1.894000,2.097000,2.097000,0
2010-06-01,2.057000,2.213000,1.765000,1.795000,1.795000,0
2010-07-01,1.785000,1.908000,1.593000,1.598000,1.598000,0
2010-08-01,1.622000,1.644000,1.279000,1.342000,1.342000,0
2010-09-01,1.346000,1.612000,1.225000,1.281000,1.281000,0
2010-10-01,1.294000,1.318000,1.071000,1.179000,1.179000,0
2010-11-01,1.171000,1.587000,1.016000,1.464000,1.464000,0
2010-12-01,1.582000,2.188000,1.517000,2.016000,2.016000,0
2011-01-01,2.082000,2.168000,1.859000,1.952000,1.952000,0
2011-02-01,2.007000,2.415000,1.987000,2.137000,2.137000,0
2011-03-01,2.183000,2.344000,1.800000,2.225000,2.225000,0
2011-04-01,2.268000,2.352000,1.970000,1.975000,1.975000,0
2011-05-01,1.998000,1.998000,1.678000,1.688000,1.688000,0
2011-06-01,1.652000,1.810000,1.370000,1.754000,1.754000,0
2011-07-01,1.753000,1.846000,1.373000,1.373000,1.373000,0
2011-08-01,1.347000,1.370000,0.793000,0.952000,0.952000,0
2011-09-01,0.937000,1.013000,0.771000,0.965000,0.965000,0
2011-10-01,0.952000,1.220000,0.843000,1.011000,1.011000,0
2011-11-01,0.925000,1.008000,0.839000,0.952000,0.952000,0
2011-12-01,0.978000,1.020000,0.797000,0.830000,0.830000,0
2012-01-01,0.883000,0.927000,0.709000,0.711000,0.711000,0
2012-02-01,0.720000,0.927000,0.699000,0.875000,0.875000,0
2012-03-01,0.904000,1.226000,0.812000,1.043000,1.043000,0
2012-04-01,1.031000,1.105000,0.807000,0.811000,0.811000,0
2012-05-01,0.813000,0.846000,0.633000,0.671000,0.671000,0
2012-06-01,0.631000,0.773000,0.600000,0.729000,0.729000,0
2012-07-01,0.712000,0.712000,0.541000,0.599000,0.599000,0
2012-08-01,0.592000,0.836000,0.583000,0.596000,0.596000,0
2012-09-01,0.598000,0.741000,0.593000,0.630000,0.630000,0
2012-10-01,0.625000,0.833000,0.603000,0.715000,0.715000,0
2012-11-01,0.739000,0.774000,0.598000,0.614000,0.614000,0
2012-12-01,0.639000,0.783000,0.592000,0.725000,0.725000,0
2013-01-01,0.780000,0.917000,0.728000,0.881000,0.881000,0
2013-02-01,0.896000,0.910000,0.746000,0.769000,0.769000,0
2013-03-01,0.748000,0.921000,0.724000,0.769000,0.769000,0
2013-04-01,0.790000,0.790000,0.650000,0.678000,0.678000,0
2013-05-01,0.665000,1.089000,0.641000,1.053000,1.053000,0
2013-06-01,1.063000,1.557000,0.947000,1.385000,1.385000,0
2013-07-01,1.425000,1.611000,1.282000,1.391000,1.391000,0
2013-08-01,1.386000,1.724000,0.323000,1.601000,1.601000,0
2013-09-01,1.680000,1.848000,1.381000,1.388000,1.388000,0
2013-10-01,1.409000,1.472000,1.250000,1.315000,1.315000,0
2013-11-01,1.359000,1.460000,1.289000,1.367000,1.367000,0
2013-12-01,1.405000,1.756000,1.385000,1.748000,1.748000,0
2014-01-01,1.750000,1.777000,1.485000,1.510000,1.510000,0
2014-02-01,1.515000,1.582000,1.422000,1.511000,1.511000,0
2014-03-01,1.471000,1.786000,1.451000,1.732000,1.732000,0
2014-04-01,1.730000,1.811000,1.001000,1.681000,1.681000,0
2014-05-01,1.690000,1.765000,1.465000,1.528000,1.528000,0
2014-06-01,1.562000,1.758000,1.552000,1.625000,1.625000,0
2014-07-01,1.648000,1.807000,1.610000,1.763000,1.763000,0
2014-08-01,1.771000,1.789000,1.495000,1.628000,1.628000,0
2014-09-01,1.661000,1.874000,1.628000,1.780000,1.780000,0
2014-10-01,1.747000,1.768000,1.118000,1.613000,1.613000,0
2014-11-01,1.608000,1.701000,1.511000,1.511000,1.511000,0
2014-12-01,1.469000,1.791000,1.454000,1.653000,1.653000,0
2015-01-01,1.686000,1.705000,1.159000,1.187000,1.187000,0
2015-02-01,1.189000,1.636000,1.168000,1.505000,1.505000,0
2015-03-01,1.509000,1.711000,1.340000,1.375000,1.375000,0
2015-04-01,1.341000,1.507000,1.260000,1.442000,1.442000,0
2015-05-01,1.456000,1.635000,1.447000,1.467000,1.467000,0
2015-06-01,1.492000,1.809000,1.471000,1.628000,1.628000,0
2015-07-01,1.699000,1.752000,1.473000,1.548000,1.548000,0
2015-08-01,1.552000,1.671000,1.292000,1.484000,1.484000,0
2015-09-01,1.504000,1.614000,1.372000,1.375000,1.375000,0
2015-10-01,1.365000,1.558000,1.215000,1.528000,1.528000,0
2015-11-01,1.553000,1.779000,1.543000,1.654000,1.654000,0
2015-12-01,1.666000,1.829000,1.568000,1.758000,1.758000,0
2016-01-01,1.720000,1.740000,1.328000,1.335000,1.335000,0
