day,month,year,1,2,3
24,4,2020,2,4,1
23,4,2020,9,2,5
17,3,2020,5,3,3
16,3,2020,0,6,8
15,3,2020,1,9,4
14,3,2020,0,2,2
13,3,2020,1,8,1
3,12,2020,4,9,5
3,11,2020,3,4,7
3,10,2020,7,7,1
3,9,2020,2,9,9
3,8,2020,6,6,5
3,7,2020,4,1,3
3,6,2020,2,9,8
3,5,2020,4,8,3
3,4,2020,4,2,2
3,3,2020,7,9,2
3,2,2020,7,4,5
3,1,2020,7,3,3
29,2,2020,5,2,6
28,2,2020,3,6,5
27,2,2020,7,7,1
26,2,2020,5,6,3
25,2,2020,7,7,1
24,2,2020,9,4,5
23,2,2020,4,9,0
22,2,2020,6,6,0
21,2,2020,5,2,8
20,2,2020,2,1,5
19,2,2020,4,0,4
18,2,2020,0,8,5
17,2,2020,1,3,3
16,2,2020,1,8,9
15,2,2020,1,8,2
14,2,2020,4,0,0
13,2,2020,4,9,5
2,12,2020,7,9,3
2,11,2020,3,6,5
2,10,2020,2,4,4
2,9,2020,0,3,2
2,8,2020,5,0,5
2,7,2020,2,2,0
2,6,2020,6,8,8
2,5,2020,1,6,6
2,4,2020,5,0,9
2,3,2020,8,1,1
2,2,2020,0,1,5
2,1,2020,2,3,8
31,1,2020,0,9,2
30,1,2020,4,5,8
29,1,2020,1,1,2
28,1,2020,0,5,0
27,1,2020,0,9,1
26,1,2020,3,4,2
25,1,2020,8,2,4
24,1,2020,4,8,1
23,1,2020,2,5,1
22,1,2020,5,1,7
21,1,2020,5,8,0
20,1,2020,9,4,6
19,1,2020,7,4,9
18,1,2020,0,5,2
17,1,2020,2,1,0
16,1,2020,0,9,8
15,1,2020,6,3,0
14,1,2020,6,6,2
13,1,2020,4,2,1
1,12,2020,3,5,8
1,11,2020,4,7,4
1,10,2020,5,6,2
1,9,2020,6,8,2
1,8,2020,2,6,2
1,7,2020,0,2,6
1,6,2020,3,5,2
1,5,2020,4,1,4
1,4,2020,0,5,3
1,3,2020,1,1,5
1,2,2020,0,5,5
1,1,2020,2,5,9
31,12,2019,2,0,7
30,12,2019,7,9,5
29,12,2019,7,3,6
28,12,2019,9,8,8
27,12,2019,8,0,0
26,12,2019,4,0,0
25,12,2019,8,7,5
24,12,2019,9,9,8
23,12,2019,0,1,0
22,12,2019,7,0,5
21,12,2019,7,9,9
20,12,2019,7,3,7
19,12,2019,3,7,2
18,12,2019,7,2,9
17,12,2019,5,7,2
16,12,2019,2,8,7
15,12,2019,8,1,1
14,12,2019,7,7,2
13,12,2019,0,3,6
12,12,2019,6,8,8
12,11,2019,5,9,3
